# Goxel 0.14.0
# One line per voxel
# X Y Z RRGGBB
0 32 0 3f3f3f
1 32 0 3f3f3f
2 32 0 3f3f3f
3 32 0 3f3f3f
4 32 0 3f3f3f
5 32 0 3f3f3f
6 32 0 3f3f3f
7 32 0 3f3f3f
8 32 0 3f3f3f
9 32 0 3f3f3f
10 32 0 3f3f3f
11 32 0 3f3f3f
12 32 0 3f3f3f
13 32 0 3f3f3f
14 32 0 3f3f3f
15 32 0 3f3f3f
0 33 0 3f3f3f
1 33 0 3f3f3f
2 33 0 3f3f3f
3 33 0 3f3f3f
4 33 0 3f3f3f
5 33 0 3f3f3f
6 33 0 3f3f3f
7 33 0 3f3f3f
8 33 0 3f3f3f
9 33 0 3f3f3f
10 33 0 3f3f3f
11 33 0 3f3f3f
12 33 0 3f3f3f
13 33 0 3f3f3f
14 33 0 3f3f3f
15 33 0 3f3f3f
0 34 0 3f3f3f
1 34 0 3f3f3f
2 34 0 3f3f3f
3 34 0 3f3f3f
4 34 0 3f3f3f
5 34 0 3f3f3f
6 34 0 3f3f3f
7 34 0 3f3f3f
8 34 0 3f3f3f
9 34 0 3f3f3f
10 34 0 3f3f3f
11 34 0 3f3f3f
12 34 0 3f3f3f
13 34 0 3f3f3f
14 34 0 3f3f3f
15 34 0 3f3f3f
0 35 0 3f3f3f
1 35 0 3f3f3f
2 35 0 3f3f3f
3 35 0 3f3f3f
4 35 0 3f3f3f
5 35 0 3f3f3f
6 35 0 3f3f3f
7 35 0 3f3f3f
8 35 0 3f3f3f
9 35 0 3f3f3f
10 35 0 3f3f3f
11 35 0 3f3f3f
12 35 0 3f3f3f
13 35 0 3f3f3f
14 35 0 3f3f3f
15 35 0 3f3f3f
0 36 0 3f3f3f
1 36 0 3f3f3f
2 36 0 3f3f3f
3 36 0 3f3f3f
4 36 0 3f3f3f
5 36 0 3f3f3f
6 36 0 3f3f3f
7 36 0 3f3f3f
8 36 0 3f3f3f
9 36 0 3f3f3f
10 36 0 3f3f3f
11 36 0 3f3f3f
12 36 0 3f3f3f
13 36 0 3f3f3f
14 36 0 3f3f3f
15 36 0 3f3f3f
0 37 0 3f3f3f
1 37 0 3f3f3f
2 37 0 3f3f3f
3 37 0 3f3f3f
4 37 0 3f3f3f
5 37 0 3f3f3f
6 37 0 3f3f3f
7 37 0 3f3f3f
8 37 0 3f3f3f
9 37 0 3f3f3f
10 37 0 3f3f3f
11 37 0 3f3f3f
12 37 0 3f3f3f
13 37 0 3f3f3f
14 37 0 3f3f3f
15 37 0 3f3f3f
0 38 0 3f3f3f
1 38 0 3f3f3f
2 38 0 3f3f3f
3 38 0 3f3f3f
4 38 0 3f3f3f
